city,latitude,longitude,Data Analyst,Data Scientist,Data Engineer,ML Engineer,Web Developer,DevOps Cloud,Cybersecurity,Software Dev
Bangalore,12.9716,77.5946,36,45,26,30,13,0,15,17
Hyderabad,17.385,78.4867,4,20,18,22,9,14,0,27
Pune,18.5204,73.8567,27,3,19,0,0,34,18,0
Mumbai,19.076,72.8777,12,17,4,11,8,0,26,0
Chennai,13.0827,80.2707,8,6,5,0,3,0,9,14
Gurugram,28.4595,77.0266,9,8,5,0,10,3,0,2
Jaipur,26.9124,75.7873,1,0,2,0,0,13,0,17
Ahmedabad,23.0225,72.5714,3,0,2,0,0,0,19,0
Noida,28.5355,77.391,2,3,1,0,0,0,0,16
Patna,25.5941,85.1376,0,0,10,0,12,0,0,0
Udaipur,24.5854,73.7125,1,0,0,0,18,0,0,0
Thiruvananthapuram,8.5241,76.9366,0,0,0,0,0,17,0,0
Mangaluru,12.9141,74.856,0,0,0,0,12,0,0,0
Thane,19.2183,72.9781,10,0,0,0,0,0,0,0
Coimbatore,11.0168,76.9558,8,0,0,0,0,0,0,0
Kolkata,22.5726,88.3639,0,0,0,0,0,5,0,0
Remote,20.5937,78.9629,3,0,1,0,0,0,0,0
Kozhikode,11.2588,75.7804,3,0,0,0,0,0,0,0
Navi Mumbai,19.033,73.0297,2,0,0,0,0,0,0,0
Nagpur,21.1458,79.0882,2,0,0,0,0,0,0,0
Atpadi,17.4,74.7167,2,0,0,0,0,0,0,0
Surat,21.1702,72.8311,0,1,0,0,0,0,0,0
